,ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,LIGHT_CONDITION_DESC,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,NODE_ID,NODE_TYPE,AMG_X,AMG_Y,LG_AREA_NAME,REGION_NAME,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE,NEAREST_NATIONAL_PARK_NAME
0,22000004456,22/01/00,07.58.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,91,E,5,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,100,158711,N,2346829.19,2364510.193,CORANGAMITE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.20817,143.25117,3260,Port Campbell National Park
1,22000005220,04/02/00,22.00.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,519,N,9,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,158717,N,2388077.136,2308834.392,COLAC OTWAY,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.7155,143.71346,3233,Great Otway National Park
2,22000005532,06/02/00,22.00.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,73,F,7,5,Dark No street lights,1,2,0,2,0,0,1,5,Not at intersection,3,100,158718,N,2259985.965,2401993.249,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.85217,142.27234,3289,Mount Eccles National Park
3,22000007624,20/02/00,00.15.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,93,B,3,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,150004,N,2415145.14,2380906.853,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.06925,144.033,3321,Brisbane Ranges National Park
4,22000009094,07/03/00,05.45.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,MEL,40,421,K,6,9,Unknown,1,1,0,1,0,0,1,5,Not at intersection,3,100,150017,N,2443237.245,2386011.78,GEELONG,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.0254,144.35352,3212,Brisbane Ranges National Park
5,22000010572,08/03/00,06.45.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,77,C,7,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,100,15533,N,2420317.634,2403923.406,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.86235,144.09443,3333,Brisbane Ranges National Park
6,22000010743,16/03/00,21.15.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,56,B,9,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,181343,N,2285382.101,2445784.521,ARARAT,WESTERN REGION,RURAL_VICTORIA,-37.46393,142.57351,3379,Grampians National Park
7,22000011021,21/03/00,21.05.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,77,F,2,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,100,150040,N,2439156.976,2442613.854,MOORABOOL,WESTERN REGION,SMALL_TOWNS,-37.51516,144.31171,3458,Brisbane Ranges National Park
8,22000011075,18/03/00,12.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,58,E,8,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,100,181349,N,2391113.937,2455445.287,BALLARAT,WESTERN REGION,RURAL_VICTORIA,-37.39518,143.77014,3364,Brisbane Ranges National Park
9,22000013367,03/04/00,16.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,MEL,40,334,C,3,1,Day,1,1,1,0,0,0,2,5,Not at intersection,2,60,150067,N,2451961.485,2426184.103,MOORABOOL,WESTERN REGION,RURAL_VICTORIA,-37.66395,144.45549,3340,Brisbane Ranges National Park
10,22000014272,20/04/00,21.25.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,75,D,9,5,Dark No street lights,2,6,0,1,0,5,1,5,Not at intersection,3,100,158749,N,2338771.123,2392063.854,CORANGAMITE,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.95862,143.16525,3325,Port Campbell National Park
11,22000015808,08/05/00,18.50.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,59,G,8,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,150091,N,2439513.557,2457485.961,HEPBURN,WESTERN REGION,RURAL_VICTORIA,-37.38117,144.31695,3458,Brisbane Ranges National Park
12,22000016818,20/03/00,06.45.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,90,H,6,5,Dark No street lights,1,4,0,1,0,3,2,5,Not at intersection,3,100,158761,N,2324168.775,2355992.348,CORANGAMITE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.28085,142.99047,3266,Port Campbell National Park
13,22000017033,08/05/00,18.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,453,F,14,5,Dark No street lights,1,1,1,0,0,0,1,5,Not at intersection,2,100,150101,N,2431703.731,2353241.654,SURF COAST,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.31983,144.2191,3228,Great Otway National Park
14,22000019466,02/06/00,18.30.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,39,C,8,5,Dark No street lights,1,2,0,1,0,1,1,5,Not at intersection,3,100,181406,N,2201109.551,2505992.406,WEST WIMMERA,WESTERN REGION,RURAL_VICTORIA,-36.89853,141.64537,3409,Little Desert National Park
15,22000024952,23/07/00,00.15.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,74,F,5,5,Dark No street lights,1,2,0,1,0,1,1,5,Not at intersection,3,80,181437,N,2310594.74,2419419.212,ARARAT,WESTERN REGION,RURAL_VICTORIA,-37.70689,142.85174,3351,Grampians National Park
16,22000026533,04/08/00,05.30.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,91,J,9,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,158787,N,2367650.756,2336510.651,COLAC OTWAY,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.46356,143.48377,3249,Great Otway National Park
17,22000029454,28/08/00,13.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,414,E,10,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,150223,N,2448378.688,2456229.049,HEPBURN,WESTERN REGION,RURAL_VICTORIA,-37.39303,144.41697,3458,Organ Pipes National Park
18,22000031836,19/09/00,20.45.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,435,B,13,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,80,11237,N,2462002.634,2402256.511,WYNDHAM,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.88001,144.56807,3024,Organ Pipes National Park
19,22000033371,23/09/00,15.00.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,566,J,2,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,80,23635,N,2401522.389,2440200.577,BALLARAT,WESTERN REGION,RURAL_VICTORIA,-37.5337,143.88567,3350,Brisbane Ranges National Park
20,22000033528,07/10/00,06.15.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,MEL,40,360,J,10,2,Dusk/Dawn,1,1,1,0,0,0,1,5,Not at intersection,2,100,130588,N,2477937.809,2408816.201,WYNDHAM,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.82142,144.74941,3029,Organ Pipes National Park
21,22000039382,27/11/00,22.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,558,F,12,3,Dark Street lights on,1,2,0,1,0,1,1,5,Not at intersection,3,100,181528,N,2388696.37,2491697.646,CENTRAL GOLDFIELDS,WESTERN REGION,RURAL_VICTORIA,-37.06823,143.74822,3465,Kara Kara National Park
22,22000039541,29/11/00,10.25.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,40,J,4,1,Day,1,1,1,0,0,0,1,3,Y intersection,2,100,53122,I,2273231.734,2536232.652,YARRIAMBIACK,WESTERN REGION,RURAL_VICTORIA,-36.64623,142.46344,3390,Grampians National Park
23,22000039703,03/12/00,10.10.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,55,J,2,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,23639,O,2272399.177,2490853.974,NORTHERN GRAMPIANS,WESTERN REGION,RURAL_VICTORIA,-37.05485,142.44049,3401,Grampians National Park
24,22001000608,17/12/00,12.45.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,500,C,10,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,100,158854,N,2149627.647,2376874.168,GLENELG,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.04326,141.00744,3292,Lower Glenelg National Park
25,22001001941,16/12/00,13.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,55,B,8,1,Day,1,1,1,0,0,0,2,5,Not at intersection,2,100,158862,N,2239869.1,2452252.441,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.39411,142.06149,3314,Grampians National Park
26,22001002411,07/01/01,16.30.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,58,F,6,1,Day,1,2,0,1,0,1,2,5,Not at intersection,3,100,181572,N,2397444.744,2468398.131,HEPBURN,WESTERN REGION,RURAL_VICTORIA,-37.27918,143.84341,3370,Brisbane Ranges National Park
27,22001003088,13/01/01,13.00.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,584,D,4,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,60,181576,N,2392462.603,2466646.139,HEPBURN,WESTERN REGION,SMALL_TOWNS,-37.29441,143.78698,3370,Kara Kara National Park
28,22001003712,17/01/01,04.30.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,93,C,6,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,999,150371,N,2418597.303,2359583.035,SURF COAST,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.26164,144.06996,3240,Great Otway National Park
29,22001004902,02/02/01,05.45.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,77,F,5,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,150387,N,2438288.026,2417186.634,MOORABOOL,WESTERN REGION,RURAL_VICTORIA,-37.74422,144.29976,3340,Brisbane Ranges National Park
30,22001007221,22/02/01,06.30.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,90,C,4,2,Dusk/Dawn,1,1,0,1,0,0,1,5,Not at intersection,3,100,158894,N,2294639.56,2372457.455,MOYNE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.12649,142.65774,3264,Port Campbell National Park
31,22001007609,25/02/01,21.30.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,59,D,5,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,181613,N,2423701.03,2476162.382,HEPBURN,WESTERN REGION,RURAL_VICTORIA,-37.21172,144.1403,3461,Brisbane Ranges National Park
32,22001007766,01/03/01,19.30.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,76,C,3,5,Dark No street lights,1,2,0,1,0,1,2,5,Not at intersection,3,100,158900,N,2383793.688,2434299.853,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.58483,143.68416,3351,Brisbane Ranges National Park
33,22001007783,03/03/01,19.00.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,40,H,8,2,Dusk/Dawn,1,3,0,1,0,2,1,5,Not at intersection,3,100,22955,N,2271429.38,2504964.354,NORTHERN GRAMPIANS,WESTERN REGION,RURAL_VICTORIA,-36.9275,142.43386,3385,Grampians National Park
34,22001009680,12/03/01,23.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,42,G,8,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,181626,N,2354351.914,2510596.938,NORTHERN GRAMPIANS,WESTERN REGION,RURAL_VICTORIA,-36.89323,143.36568,3477,Kara Kara National Park
35,22001009888,08/10/00,12.00.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,90,E,8,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,100,158910,N,2304747.047,2342817.415,MOYNE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.3956,142.76504,3277,Port Campbell National Park
36,22001010457,16/03/01,21.40.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,453,B,8,5,Dark No street lights,1,4,0,4,0,0,1,5,Not at intersection,3,100,150461,N,2424643.842,2364980.939,SURF COAST,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.21353,144.1396,3240,Brisbane Ranges National Park
37,22001011099,24/03/01,21.20.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,72,G,6,5,Dark No street lights,2,4,1,2,0,1,1,5,Not at intersection,2,100,158915,N,2227745.428,2405847.298,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.80859,141.90761,3302,Mount Eccles National Park
38,22001012517,02/04/01,19.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,MEL,40,222,K,6,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,133130,N,2470504.659,2415325.198,MELTON,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.76257,144.66524,3024,Organ Pipes National Park
39,22001012677,25/03/01,21.00.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,26,H,7,5,Dark No street lights,1,2,0,2,0,0,1,5,Not at intersection,3,100,181652,N,2267352.331,2571209.758,YARRIAMBIACK,WESTERN REGION,RURAL_VICTORIA,-36.32968,142.40836,3393,Grampians National Park
40,22001013267,10/04/01,10.30.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,56,D,2,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,100,23644,N,2295447.729,2496169.767,NORTHERN GRAMPIANS,WESTERN REGION,RURAL_VICTORIA,-37.01226,142.70102,3385,Grampians National Park
41,22001017115,20/05/01,22.10.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,92,C,6,2,Dusk/Dawn,1,1,0,1,0,0,1,5,Not at intersection,3,100,158950,N,2382699.218,2353602.98,COLAC OTWAY,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.31165,143.6589,3249,Great Otway National Park
42,22001017215,22/05/01,12.20.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,90,D,4,1,Day,1,3,0,1,0,2,1,5,Not at intersection,3,100,158274,N,2297694.408,2370274.751,MOYNE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.14682,142.69196,3264,Port Campbell National Park
43,22001018224,03/06/01,14.40.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,43,E,8,1,Day,1,1,0,1,0,0,1,5,Not at intersection,3,100,181685,N,2389249.438,2508115.631,CENTRAL GOLDFIELDS,WESTERN REGION,RURAL_VICTORIA,-36.92034,143.75685,3472,Kara Kara National Park
44,22001018742,30/05/01,18.30.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,552,E,4,5,Dark No street lights,1,1,1,0,0,0,2,5,Not at intersection,2,100,181686,N,2279636.36,2481566.498,NORTHERN GRAMPIANS,WESTERN REGION,SMALL_TOWNS,-37.14025,142.51912,3381,Grampians National Park
45,22001019759,13/06/01,06.30.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,90,G,5,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,158961,N,2318189.5,2363948.951,CORANGAMITE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.20804,142.92413,3264,Port Campbell National Park
46,22001021947,30/06/01,16.55.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,77,F,8,1,Day,1,1,0,1,0,0,1,5,Not at intersection,3,100,150576,N,2434581.695,2402459.272,GEELONG,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.87665,144.2564,3331,Brisbane Ranges National Park
47,22001023402,14/07/01,04.00.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,92,A,7,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,158977,N,2369150.319,2349803.699,COLAC OTWAY,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.34405,143.50334,3249,Great Otway National Park
48,22001026427,11/08/01,06.00.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,93,F,7,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,150617,N,2435314.522,2350144.472,SURF COAST,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.34798,144.26011,3228,Point Nepean National Park
49,22001030478,26/09/01,12.15.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,92,A,5,1,Day,1,1,0,1,0,0,2,5,Not at intersection,3,100,159005,N,2372601.681,2362352.568,COLAC OTWAY,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.23151,143.545,3249,Great Otway National Park
50,22001032465,29/09/01,20.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,91,E,7,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,159015,N,2347006.161,2352006.182,CORANGAMITE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.32082,143.25057,3260,Port Campbell National Park
51,22001034380,02/10/01,04.45.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,58,G,8,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,181780,N,2405326.591,2453466.369,HEPBURN,WESTERN REGION,RURAL_VICTORIA,-37.41456,143.9304,3364,Brisbane Ranges National Park
52,22001034661,04/11/01,10.30.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,58,B,4,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,180654,N,2374879.206,2482971.755,CENTRAL GOLDFIELDS,WESTERN REGION,RURAL_VICTORIA,-37.14512,143.59139,3465,Kara Kara National Park
53,22001034766,01/11/01,15.30.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,MEL,40,343,D,5,1,Day,1,2,1,0,0,1,2,5,Not at intersection,2,100,105580,N,2464237.233,2420486.725,MELTON,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.71584,144.59436,3338,Organ Pipes National Park
54,22001035225,08/11/01,15.20.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,56,B,4,1,Day,1,1,0,1,0,0,1,5,Not at intersection,3,100,22970,N,2284999.476,2479789.302,ARARAT,WESTERN REGION,RURAL_VICTORIA,-37.1575,142.57896,3381,Grampians National Park
55,22001036915,24/11/01,06.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,71,J,5,2,Dusk/Dawn,1,1,0,0,1,0,1,5,Not at intersection,1,100,159041,N,2188176.362,2415534.768,GLENELG,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.70894,141.46264,3311,Lower Glenelg National Park
56,22001037364,20/11/01,18.30.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,59,C,9,1,Day,1,1,1,0,0,0,2,5,Not at intersection,2,60,188110,N,2421979.226,2450019.484,MOORABOOL,WESTERN REGION,RURAL_VICTORIA,-37.44716,144.11817,3461,Brisbane Ranges National Park
57,22002002731,09/01/02,12.00.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9,453,B,13,1,Day,1,1,1,0,0,0,1,5,Not at intersection,2,100,150783,N,2424238.3,2354145.646,SURF COAST,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.3111,144.13384,3240,Great Otway National Park
58,22002002745,13/01/02,22.00.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,56,A,4,5,Dark No street lights,1,3,0,2,0,1,2,5,Not at intersection,3,100,181834,N,2281712.062,2477311.824,NORTHERN GRAMPIANS,WESTERN REGION,RURAL_VICTORIA,-37.17906,142.54124,3381,Grampians National Park
59,22002002879,12/01/02,21.25.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,93,E,7,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,150784,N,2430072.989,2348327.753,SURF COAST,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.36397,144.19998,3228,Great Otway National Park
60,22002004678,24/01/02,23.00.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,88,C,6,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,158300,N,2208813.154,2354690.41,GLENELG,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.26345,141.67243,3305,Mount Richmond National Park
61,22002005398,08/02/02,08.30.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,76,C,5,1,Day,1,1,0,1,0,0,1,5,Not at intersection,3,100,159101,N,2379161.944,2418809.631,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.7238,143.6292,3351,Brisbane Ranges National Park
62,22002008344,01/03/02,06.00.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,MEL,40,484,C,3,3,Dark Street lights on,1,1,0,1,0,0,1,5,Not at intersection,3,100,150843,N,2459768.838,2363086.796,GEELONG,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.23279,144.54053,3221,Point Nepean National Park
63,22002009354,09/03/02,20.00.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,55,H,3,2,Dusk/Dawn,1,1,0,1,0,0,1,5,Not at intersection,3,100,180680,N,2266977.358,2487094.826,NORTHERN GRAMPIANS,WESTERN REGION,RURAL_VICTORIA,-37.08739,142.37838,3401,Grampians National Park
64,22002009360,10/03/02,14.10.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,56,A,3,1,Day,1,3,0,2,0,1,1,5,Not at intersection,3,100,22981,N,2279983.437,2486868.025,NORTHERN GRAMPIANS,WESTERN REGION,RURAL_VICTORIA,-37.09257,142.52457,3381,Grampians National Park
65,22002010342,15/03/02,21.15.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,443,A,11,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,150862,N,2423321.62,2382834.74,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.05259,144.12637,3331,Brisbane Ranges National Park
66,22002010884,16/03/02,13.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,77,C,6,1,Day,1,1,1,0,0,0,2,5,Not at intersection,2,80,150865,N,2417806.022,2412231.089,MOORABOOL,WESTERN REGION,RURAL_VICTORIA,-37.78728,144.06682,3334,Brisbane Ranges National Park
67,22002011735,22/03/02,23.00.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,MEL,40,696,E,10,4,Dark Street lights off,1,1,1,0,0,0,2,5,Not at intersection,2,100,12904,N,2464577.255,2438128.047,MELTON,NORTHERN REGION,RURAL_VICTORIA,-37.55689,144.59906,3337,Organ Pipes National Park
68,22002014135,08/04/02,05.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,443,B,11,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,150903,N,2424877.066,2383346.828,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.04811,144.14414,3331,Brisbane Ranges National Park
69,22002018952,30/05/02,07.20.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9,76,D,3,2,Dusk/Dawn,1,1,0,1,0,0,2,5,Not at intersection,3,100,158313,N,2385780.504,2430225.195,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-37.62178,143.70603,3351,Brisbane Ranges National Park
70,22002019746,03/06/02,21.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,MEL,40,444,B,10,3,Dark Street lights on,1,3,0,3,0,0,1,5,Not at intersection,3,100,150950,N,2467180.526,2374741.447,GEELONG,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.12809,144.6257,3221,Point Nepean National Park
71,22002020345,01/06/02,18.18.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,571,M,2,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,181960,N,2393492.191,2433920.944,BALLARAT,WESTERN REGION,RURAL_VICTORIA,-37.5894,143.79392,3351,Brisbane Ranges National Park
72,22002022197,29/06/02,02.10.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9,443,E,11,5,Dark No street lights,1,1,0,1,0,0,1,5,Not at intersection,3,100,150982,N,2430751.648,2382305.134,GOLDEN PLAINS,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.05795,144.21097,3331,Brisbane Ranges National Park
73,22002022356,01/07/02,06.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9,77,E,6,5,Dark No street lights,1,1,0,1,0,0,2,5,Not at intersection,3,100,188733,N,2431881.459,2410202.312,MOORABOOL,WESTERN REGION,RURAL_VICTORIA,-37.8067,144.22643,3342,Brisbane Ranges National Park
74,22002023376,28/04/02,19.05.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9,58,A,4,5,Dark No street lights,4,7,1,0,0,6,1,5,Not at intersection,2,100,181979,N,2368910.907,2482413.136,PYRENEES,WESTERN REGION,RURAL_VICTORIA,-37.14934,143.52411,3352,Kara Kara National Park
75,22002023705,12/07/02,06.50.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9,425,C,9,2,Dusk/Dawn,1,1,0,1,0,0,2,5,Not at intersection,3,100,139127,N,2463245.738,2433996.464,MELTON,METROPOLITAN NORTH WEST REGION,RURAL_VICTORIA,-37.59407,144.58378,3337,Organ Pipes National Park
76,22002024274,21/12/01,20.30.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,MEL,40,505,B,8,5,Dark No street lights,1,2,0,1,0,1,2,5,Not at intersection,3,100,151009,N,2437144.895,2351264.687,SURF COAST,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.33802,144.28114,3228,Point Nepean National Park
77,22002027660,09/04/02,03.30.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9,510,A,11,5,Dark No street lights,1,1,1,0,0,0,2,5,Not at intersection,2,100,159201,N,2268329.047,2351759.718,MOYNE,SOUTH WESTERN REGION,RURAL_VICTORIA,-38.30666,142.35123,3282,Mount Eccles National Park
